Date,MMM,AOS,ALK,ALLE,AAL,AME,BA,CHRW,CAT,CTAS,CPRT,CSX,CMI,DE,DAL,DOV,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FBHS,GD,GE,GWW,HON,HWM,HII,IEX,INFO,ITW,JBHT,J,JCI,KSU,LHX,LMT,MAS,NLSN,NSC,NOC,ODFL,PCAR,PH,PNR,PWR,RTX,RSG,RHI,ROK,ROL,SNA,LUV,SWK,TDY,TXT,TT,TDG,UNP,UAL,UPS,URI,VRSK,WAB,WM,XYL
10/24/16,149.8374329,45.06926346,68.89939117,64.94831085,38.39212799,43.82787704,126.4646835,62.60220718,76.66928101,101.006897,26.72500038,28.61828613,111.4929047,80.11808777,38.04655075,51.02085495,56.47245789,43.95281601,124.7440948,47.32518387,17.24115753,163.3552856,40.01717758,52.18584824,137.8550415,25.72951126,186.957962,95.72532654,19.49323273,145.7970581,82.42397308,37.38773727,102.1011658,75.51986694,49.11902618,35.32961655,85.51275635,84.8656311,208.2751312,31.93366241,46.61206055,85.02838135,202.602005,46.54216003,47.4942131,111.5646744,36.53992081,28.19530296,56.53926086,46.46441269,35.40975189,109.129303,11.86542797,144.8412628,40.7313118,110.4616318,106.3899994,38.73962021,47.00236511,219.4207001,81.92307281,55.04000092,94.00107574,76.56999969,81.13386536,79.54511261,57.37417984,45.96871948
10/25/16,145.4281158,43.54148865,67.76682281,62.80125427,38.25718307,43.51703262,127.9092331,62.88297653,75.32295227,100.7802734,26.48500061,29.0323658,110.5072403,79.95172882,37.89940643,50.29568481,56.3031311,43.7780838,124.021431,47.40048599,17.10832977,163.2129059,39.75942993,49.30182266,138.9018707,25.48930168,185.3968964,95.55885315,19.80530167,146.3765869,81.63653564,37.18997192,100.9726334,75.60616302,48.58909988,34.9475975,85.85433197,84.33568573,223.6158752,28.90776634,38.73731232,85.32111359,205.4754486,46.68634415,46.19599533,112.0818787,34.66766357,28.11613274,57.58460617,46.83208466,35.40975189,108.1717834,11.8150425,142.1569519,40.36567307,108.1510925,105.6999969,38.83887863,46.15220261,220.38237,82.02334595,54.63000107,93.47234344,76.48999786,81.00557709,76.35904694,57.52086639,45.39221191
10/26/16,145.6730957,42.28387833,66.57809448,62.86834335,37.90054321,43.54617691,133.9081116,60.95382309,75.0109024,100.6669617,26.24500084,28.59005547,111.3432999,80.43227386,38.07414246,50.74707794,57.22102356,44.06637955,122.3859482,47.51343155,17.2765789,164.7887268,40.28414917,50.10293961,137.581955,25.68502998,189.4959106,95.87425995,20.1681633,148.8909454,81.77883911,36.98232269,102.3629837,77.00629425,49.01304245,35.09085083,84.25073242,84.95860291,224.3604431,29.11710739,38.84762955,82.35722351,213.4499969,48.27903748,46.58377838,112.5344543,34.34529495,28.12602615,57.38575745,47.14460373,36.16080475,109.9956284,12.57499981,140.5428009,36.94974899,107.9200592,106.1900024,39.55352783,47.38816071,222.8153381,81.16654968,53.97999954,94.13976288,76.19000244,80.35430908,74.90198517,58.6485405,45.73244476
10/27/16,145.0169678,41.93828583,66.56873322,60.23246002,38.46923828,42.92449951,131.8563232,61.07155991,74.01230621,99.77936554,25.875,28.52418137,111.1144791,80.39529419,38.13851929,49.94050598,55.51000595,43.542202,117.1181412,47.80521774,17.02420235,165.557663,40.05400467,50.91348648,136.6625824,25.47150612,188.4369202,95.34859467,20.48023033,148.7414246,81.59860229,36.46812439,102.3088226,77.70632935,48.82997894,35.0271759,84.6397934,82.72724152,222.9609528,29.02195358,38.99187851,83.56474304,210.9228516,50.25188828,46.60063934,112.4143906,33.9919281,27.89840508,56.85172653,46.8504715,33.67865372,107.797905,12.89409828,139.4092407,37.75802994,106.3119049,105.9199982,39.27560425,47.89540482,221.6152954,80.95693207,54.41999817,93.68038177,76.26999664,80.17668152,74.82430267,58.08929062,45.39221191
10/28/16,145.0257568,42.02235413,67.18648529,60.95134735,38.61382675,42.86621857,131.5803223,61.216465,74.78798676,100.0248566,26.27000046,28.4959507,111.4313126,80.55239868,38.01896667,50.14769363,55.59021378,43.76061249,116.0056381,48.28524017,17.16145897,165.4152985,38.85726166,50.64016342,137.9096832,25.99641609,190.171463,96.22472382,20.58909225,149.6200409,81.78833008,36.48789978,102.7782974,77.62003326,49.23464203,34.82820129,84.22226715,83.10844421,222.4854431,29.23128891,37.89722824,84.40632629,213.7588654,49.30150986,46.69337463,112.6453018,34.1903038,28.26457787,57.85730362,47.77882767,33.61452866,108.3359222,12.87730408,138.9376831,37.70029068,105.7204437,106.3300018,39.51381683,47.83110428,223.292099,80.54675293,55.11000061,93.35099792,75.38999939,80.27535248,74.62030792,58.65770721,45.94036865
10/31/16,144.6145325,42.19046783,67.5983429,61.19096756,39.13432312,42.83707809,131.0466766,61.69651031,74.41352844,100.7236099,26.23500061,28.71239662,112.4873276,81.59661102,38.41442108,49.49652863,56.82891846,44.27606583,117.8788452,48.44525146,17.25886917,165.4816895,38.9861412,51.48841476,137.2178497,25.88965416,189.9980316,96.09329224,20.8431015,150.8258514,82.00654602,36.3791275,102.5345154,78.26255035,49.69712448,35.95169449,83.27339172,82.94108582,221.0321503,29.38353539,38.20271683,85.07413483,214.3391876,48.94757843,46.29715729,113.3749466,34.17791748,28.45261192,58.06181717,48.376297,34.27400589,109.1748962,12.94028473,139.7447968,38.53743744,105.2121353,107.6800003,39.78180313,48.07400513,223.9496307,80.3735733,56.22999954,93.40300751,75.66000366,80.47272491,75.0962677,60.19797134,45.67575073
11/1/16,143.6959229,41.77015686,66.85889435,60.82673645,38.36320496,43.60446548,131.0282745,61.96820831,73.32575989,98.54238892,25.96500015,28.61828613,107.6207047,81.40254974,38.51558304,49.22274017,54.0930748,44.55563354,117.5650635,48.08758545,17.00206184,162.8331604,38.7652092,50.27259445,136.5260468,25.69392776,186.9762268,95.6289444,18.31702042,151.02211,80.92501068,36.4087944,101.2254333,78.65572357,48.89742279,36.78985214,81.68876648,86.21372986,219.7761536,28.5271492,38.44031906,83.7934494,213.7962646,48.43634796,46.02740097,111.9248657,34.04772186,28.05674934,57.95388412,47.14460373,33.97174072,108.4818344,12.82272053,137.9311218,38.18140793,104.9903107,105.4400024,39.25575256,48.09544373,222.0591583,80.1092453,56,92.60557556,73.02999878,79.87078094,74.04718781,58.63021088,44.59835052
11/2/16,144.9907074,41.11632538,66.41898346,60.7212944,38.27645874,42.83707809,129.500946,62.00442505,72.31824493,98.10241699,25.90500069,28.92884445,107.1190643,81.46723175,38.56155396,49.05994415,54.25348663,43.71693039,116.4145126,48.03110504,16.93565178,163.6400909,38.28652191,50.08410263,136.2438202,25.34695244,185.8259583,95.02442932,17.36825371,149.5265808,80.61193085,36.38901901,102.3991013,78.45381165,48.70472717,36.87010956,83.00770569,86.61354065,219.8928223,28.00380898,37.91419983,84.69573975,214.0303192,48.1545105,45.96839523,110.7241516,33.42777252,28.19530296,57.68686676,47.01592636,34.21905136,107.8890991,12.86470699,138.1668701,38.114048,104.8886566,103.0100021,38.70984268,48.07400513,218.4918671,80.83840942,56.13999939,92.65758514,70.91999817,81.12399292,72.79413605,58.34598923,44.38098907
11/3/16,145.9530334,40.92017746,65.20215607,60.66379547,38.05420685,42.99249649,128.8292694,62.43918228,72.46089935,98.50413513,26.02499962,29.29586792,107.145462,81.59661102,38.55236053,49.1043396,53.72273254,43.542202,116.9279861,47.87110519,17.09062195,164.8457031,38.36936569,49.80134201,136.5715485,25.16012001,186.2915497,94.92804718,16.9325943,139.0296936,80.82065582,35.75616455,102.5254974,77.29032135,49.167202,36.38861084,83.48215485,86.27880859,214.1422577,28.02283669,37.16744614,84.48397064,211.1006775,48.18727493,45.63963318,110.1792221,33.57036209,28.01716232,57.40848923,46.90561295,34.37474823,107.1230698,12.81012726,138.5205231,38.20064545,105.4246902,103.7900009,38.72969818,47.85968018,219.0261536,80.91133118,55.93999863,93.16030121,72.29000092,81.32136536,73.26038361,58.13512421,44.64560318
11/4/16,145.6468506,41.90092468,65.76377106,60.99926758,38.40208435,43.11877441,128.3876648,62.2127533,73.38817596,98.57107544,25.39500046,29.0982399,109.3983917,81.37481689,39.43524551,48.49016571,54.65829468,43.16653442,117.5365219,47.87110519,17.46253395,165.9373779,38.06558228,49.82019043,136.3712921,25.30246544,187.3778839,94.84043884,17.116539,137.169632,80.73526001,35.13319778,102.9408035,77.1941452,47.45217514,36.45102692,83.47267151,87.6269455,211.9712524,28.39393425,36.91288376,84.35507202,210.8105164,47.86611557,45.95996094,111.3429871,33.91133118,27.78954315,57.5675621,47.08945084,34.28316498,107.2051315,12.74714661,139.5453033,38.85496521,105.8960266,102.8399963,38.78924942,49.11707306,219.8316803,80.90223694,57.22999954,92.69225311,72.16000366,80.67995453,74.1151886,58.09845352,44.79682541
11/7/16,148.4989319,42.56407547,67.92593384,62.70539856,40.09316254,43.57532501,131.5987091,63.81583786,74.67209625,100.2448578,25.93499947,30.16166496,114.7050629,82.24346924,40.65839386,49.36332703,56.16059113,44.02269745,119.8946762,48.91587448,17.98056602,170.8927155,38.70077133,51.41301727,138.7198486,26.0764904,191.6230164,97.46880341,16.78737068,139.2166748,83.05962372,35.33096695,105.7757034,79.44422913,47.6159668,37.06627274,86.82218933,90.16507721,214.6536407,28.80310059,37.88874817,87.42103577,215.3312836,48.99345779,47.00527191,116.0534744,34.40110016,28.33385468,58.54472733,47.8064003,35.39143372,113.2967606,12.89409828,143.0638275,40.00002289,108.382164,106.5299988,40.44683075,50.52450562,222.2975311,82.71604919,58.52999878,95.1712265,76.11000061,82.00223541,76.81558228,59.31781769,46.0436821
