Date,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BLK,COF,CBOE,SCHW,CB,CINF,C,CFG,CME,CMA,DFS,RE,FITB,FRC,BEN,GL,GS,HIG,HBAN,ICE,IVZ,JPM,KEY,LNC,L,MTB,MKTX,MMC,MET,MCO,MS,MSCI,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,SIVB,SYF,TROW,BK,TRV,TFC,USB,UNM,WRB,WFC,WLTW,ZION
6/3/16,30.88488579,61.80465698,60.6836586,50.26572037,88.77086639,103.2562714,43.25220871,76.92755127,13.16305065,320.0744934,65.94396973,61.16259003,27.55824661,115.0170517,60.61023712,40.28345871,19.76724434,81.38201904,39.28534317,50.65871048,161.5915985,16.10137177,68.04560852,28.08673286,58.14264297,144.0753479,40.0398941,8.641604424,50.02941132,24.05109024,56.54469299,10.87384701,39.28421783,39.27710342,105.7188568,137.2230988,59.98664093,33.04836655,93.72966003,23.59968758,73.11613464,59.532547,64.89512634,12.75007057,77.20632172,35.99462509,27.90080261,62.27910614,51.44917297,8.37637043,104.7196732,54.01920319,106.1399994,27.31695366,66.47241211,37.16580963,102.3572235,31.04571342,36.78128815,30.39016533,34.10879517,42.98378372,118.7859726,25.49127197
6/6/16,30.98764801,61.97883224,61.10063934,50.29205704,90.11347961,103.9020767,43.21606827,76.63795471,13.2543354,322.4703674,67.09521484,61.00722885,28.10526466,114.3317947,60.52300644,40.59408951,20.04914474,81.35678101,39.67134094,51.4213829,161.3917542,16.42647743,68.10358429,28.25245857,58.55622482,145.3617859,40.1483078,8.783408165,49.83909988,24.20927048,57.10454559,10.98507023,40.22144699,39.21856308,107.2292709,138.7241364,60.10450745,33.4139061,95.8555603,23.87534523,73.35317993,59.58742523,65.78350067,12.86340618,78.3918457,36.5326004,27.80746078,63.21999359,52.23941803,8.565765381,105.3118439,55.38274765,109.1200027,27.59261322,66.84860229,37.94456863,102.0982437,31.39569473,37.22402954,30.93512726,34.00016403,43.24071121,118.9723358,26.20185852
6/7/16,30.96977615,61.80465698,61.05430603,50.09015656,89.875,104.0160446,43.27029037,76.89134979,13.09915352,319.7984009,66.63470459,60.61883545,27.82232094,113.9711075,60.68002701,40.4165802,20.05768585,80.73472595,39.5426712,51.45726776,160.1834106,16.25536919,67.51431274,27.9762516,58.61392975,143.6125641,40.24769974,8.683311462,49.98795319,23.60818672,56.9120903,10.85673809,40.23029709,39.17955017,105.8976059,137.2715149,60.37646103,33.23487091,95.08682251,23.58190918,73.84623718,59.36784363,65.15536499,12.7662611,77.66833496,36.59144974,27.60380173,62.85182571,51.43059158,8.462460518,104.7005692,54.69211197,108.7399979,28.10836601,66.02622223,37.63127136,102.3215103,31.25911522,37.03303909,31.05434799,33.97603989,43.0522995,120.4352417,26.11190987
6/8/16,31.23340225,62.03380203,61.39716721,49.96726227,89.60116577,104.2534714,43.30643463,76.99087524,13.17217731,320.9473267,66.40446472,61.17230225,27.77516365,114.4399948,61.18588638,40.43433762,20.04059982,80.69241333,39.63702774,51.4931488,163.6630707,16.23825836,68.14221954,27.81841087,58.81592178,143.1220551,40.22058868,8.633264542,49.89941025,23.40255737,57.07830429,10.86529446,40.36291885,39.55027008,106.3802185,139.0146332,60.35834503,33.2870903,95.92198944,23.59968758,74.00744629,59.96549606,65.21817017,12.86340618,78.01700592,36.79319,27.84988403,62.84363174,51.30043411,8.510124207,105.1017075,54.48846817,108.1999969,28.41069794,65.68501282,37.64918137,102.599968,31.25057793,37.16326141,31.10543251,34.03636932,42.821064,120.2302551,26.18387032
6/9/16,31.14403725,62.13462067,60.88751984,49.52584457,88.92102814,104.3389359,43.70407867,76.9546814,12.9530983,318.8186951,65.27162933,61.41504669,27.43564224,114.0613022,61.7005043,39.94620895,19.54513931,80.38788605,38.84789658,50.96377182,163.91745,16.02437401,67.54329681,27.16340065,58.32538986,141.7615356,40.18445206,8.483121872,49.46601486,22.99128914,56.64091492,10.64285278,39.19578934,39.1210022,105.7903824,137.7363434,60.40365982,32.66043854,95.92198944,23.19065094,74.02639008,60.37004089,64.49131775,12.74197578,76.99712372,36.26362228,27.88382721,61.48547745,50.4172287,8.406128883,105.1017075,53.38170242,106.1399994,27.93052292,65.06387329,37.28218079,102.599968,30.88353348,36.92887878,30.39016533,34.06051254,42.08454514,120.7427597,25.81508064
6/10/16,30.80891037,61.83215714,60.20183182,48.54593277,87.93174744,103.8735809,43.40584946,76.71034241,12.62448025,309.0304871,64.50718689,62.54139709,26.83203888,113.4301453,61.4650116,38.96109009,19.18635368,80.55706787,37.87004852,50.51515198,162.7272949,15.8532629,66.69320679,26.66621971,57.88294601,138.7258148,39.54301071,8.299612045,49.23424911,22.477211,55.84488297,10.4803009,38.05519867,38.81857681,105.0575256,137.3586731,60.14982986,32.14569092,94.37503052,22.71047974,72.74633026,60.29648972,63.6926918,12.70959473,75.83776855,35.70881653,27.71411514,60.16823578,49.14353943,8.25014019,102.6852646,52.39889145,103.7699966,27.38809395,63.71658325,36.91517258,102.2316589,30.66159439,36.42538071,29.58123779,33.85532761,41.39940643,118.3480301,25.17645073
6/13/16,30.5497551,61.30053711,58.99723434,48.02507401,87.31344604,102.6008987,42.99013138,76.1855011,12.41452789,306.910614,63.549366,62.72588348,26.53966713,112.2489243,60.85445404,38.30434036,18.86174393,80.58245087,37.45626068,49.81529999,159.5928345,15.67359829,66.36476898,26.25584793,57.60401154,137.5596771,39.81404114,8.224538803,49.09669495,22.10548782,55.34626389,10.3348608,37.86952209,38.74052811,105.1826172,137.5814209,59.66028595,32.00394821,93.31207275,22.46149826,71.883461,59.86434937,63.41452408,12.53149796,75.26244354,35.0867691,27.43408775,59.82460785,48.58572388,8.111480713,102.4178238,52.33690643,102.4000015,27.067976,63.21417999,36.66453171,101.5040817,30.53354454,36.18231201,29.22360229,33.58918762,41.08253098,116.913063,24.75369835
6/14/16,30.52295494,61.12638855,56.58806229,47.66310883,84.96388245,102.0785522,42.29426956,75.97735596,12.10416412,302.6355286,59.34035873,63.26963806,26.38876724,112.149765,60.76722336,37.23934174,18.20397377,80.2102356,36.63730621,47.7964859,157.7757568,15.25437832,65.61128235,25.97174454,57.54630661,135.3014221,39.66949463,7.907568455,48.77721786,21.67049599,54.30530548,9.966980934,37.1975441,38.39907074,103.243248,137.0197144,59.56056976,31.52649689,93.23615265,21.87461662,70.66027069,59.66207123,62.30184555,12.28054523,73.58005524,34.81777954,27.23043442,58.89189529,47.75830078,7.877496719,102.064415,51.54888535,99.40000153,23.51996803,62.70296097,35.93947983,101.0998611,30.20063782,35.75693893,28.86597633,33.57708359,40.14903259,116.4378281,24.12406158
6/15/16,30.45593452,60.37479019,56.91236496,47.29232788,85.46736908,101.2237778,41.8875885,75.65158081,12.17718983,302.4217529,59.5337677,62.5608139,26.84146881,112.032547,60.25263596,37.28372574,18.24668694,79.66884613,36.87005615,47.66189957,156.0223541,15.42549324,65.98804474,26.0822258,57.06539536,135.2736969,39.14550781,7.949586391,48.49554062,21.67049599,54.20907974,9.975536346,37.1444931,38.51614761,103.895668,137.1262207,59.23420334,31.28031349,93.34053802,21.98132133,70.45167542,59.57931519,62.57104492,12.36959362,73.41443634,34.99429703,26.94192123,58.72006607,48.3440094,7.886164188,102.2745361,51.27441406,99.80000305,23.56442833,63.07315445,36.03794861,100.4351273,30.36283302,35.60936356,28.78934669,33.33513641,40.06339264,115.6737442,24.21400642
6/16/16,30.7463665,60.92475128,57.3849411,47.3453064,85.02571869,101.6131821,42.12255859,77.14472198,12.14980507,302.3415527,59.17457199,62.92008591,26.88862419,112.9792938,60.78467178,37.38134384,17.88790512,80.49785614,36.14593506,47.18636322,157.1034546,15.28004551,65.8817749,26.0822258,57.66172409,135.7086487,39.58818054,7.823534966,48.50120926,21.75749397,54.42777252,9.864315987,37.09144211,38.72101593,103.7616043,138.0172119,59.84160233,31.49665642,92.03083801,22.29254532,70.40425873,59.66207123,62.16723633,12.25626087,73.10934448,35.41460419,27.10314941,58.69552231,48.31612015,7.77350378,102.6661453,50.95566559,97.72000122,23.11982155,62.79111099,35.94843292,101.2795105,30.35429382,35.64409637,28.73824883,33.73435593,40.12333298,116.3259964,23.77325821
6/17/16,30.73742485,60.87890625,57.32007599,47.15991211,85.41436768,101.4897232,42.10448074,77.37999725,12.23196125,304.4969788,59.11931992,61.72576141,26.76601601,111.7440033,60.35729218,37.70084381,18.02458191,79.59272003,36.38731384,47.37477875,159.3475494,15.57948399,66.00733948,26.31897354,57.79637909,134.7923737,39.7508049,7.815132618,47.95297623,21.93149185,54.48025131,9.941315651,37.23291397,39.06246948,104.7536392,136.041626,59.70561981,31.45935822,91.76509094,22.50596428,69.85430908,58.73344421,62.16723633,12.28054523,72.94371796,35.59113693,26.99283409,59.06370544,48.38119125,7.877496719,101.9498062,51.3009758,98.61000061,22.91529655,62.90568542,35.85891724,100.4800568,30.51647758,35.6875,28.72122002,33.81904602,39.90923309,116.7826004,23.95315361
6/20/16,31.17979431,61.01639557,57.7277832,47.43358994,86.81879425,101.9835892,42.29426956,77.5971756,12.35975456,310.330719,59.20220184,61.35678864,27.02066422,112.4382858,61.22681808,37.98484039,18.20397377,79.5419693,36.57696533,47.71573257,159.0750122,15.7420435,66.76081085,26.64254379,58.40233612,136.7452393,39.84114838,7.798326015,47.67696762,22.6432991,54.55897903,9.924202919,37.66615677,39.06246948,104.9234467,136.4967651,60.2586174,31.72045898,93.62526703,23.03059578,70.6887207,58.00708389,62.35568237,12.40197659,73.2401123,36.0534668,27.02678108,59.89821625,48.95759964,7.946826458,102.4942322,51.92961502,99.94000244,22.71966743,63.64605713,36.18116379,101.1537552,30.52501106,35.78298569,29.08736992,33.78879929,40.19185638,117.6584778,23.98913765
6/21/16,31.52385712,61.22721481,57.71851349,47.48655319,87.17211914,102.3824768,42.28522491,77.69670868,12.43278313,309.9478149,59.17457199,61.38592148,26.76601601,113.1415939,61.83284378,38.09133911,18.40899277,79.08518219,36.61144638,47.80546188,159.3020935,15.75059605,67.42738342,26.68200111,58.60432053,137.3005524,39.94955826,7.781516552,47.44256592,22.65911102,55.0663414,9.949871063,37.64847946,39.35515213,105.3435135,134.3469238,60.5033989,31.87712288,93.45441437,23.29735947,70.99216461,57.89675903,62.39157867,12.49102497,73.68467712,36.35608673,27.18800354,60.31549835,48.734478,7.946826458,102.9908981,52.0447197,99.95999908,22.98643303,63.32875824,36.19906998,101.2525711,30.72133636,35.91320038,29.29173088,33.94002151,40.44877625,118.6461945,24.12406158
6/22/16,31.65342903,61.4288559,57.40346909,47.38944626,87.59609985,102.3160019,42.29426956,77.95914459,12.42365456,309.6538391,58.87985229,61.90054321,26.72829437,113.1957016,61.99094009,37.87834549,18.25522995,79.5588913,36.70627594,47.7964859,159.4838257,15.77626419,67.83309937,26.62675858,58.75820923,137.1061859,39.80501175,7.747907639,47.6391716,22.7540226,54.85639572,9.898535728,37.71921539,39.26734161,104.8609009,134.8408356,60.56684875,31.74284363,93.25511932,23.4663105,70.95423126,58.00708389,62.26592255,12.49102497,73.88516235,36.7343483,27.17951965,60.56912231,48.93901062,7.903494835,102.3223038,51.78795624,99.09999847,22.67520523,63.46097946,36.34228516,100.4531174,30.71280098,35.89583969,29.37687683,34.06099319,40.22611618,117.8634796,24.2589798
