Date,ATVI,GOOGL,GOOG,T,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,IPG,LYV,NFLX,NWSA,TMUS,TTWO,DIS,TWTR,VZ
7/11/17,56.84906387,953.5300293,930.0900269,29.52885246,337.8500061,36.07373428,26.20000076,25.47999954,64.77999878,108.2757187,155.2700043,21.16702271,34.65000153,154.3300018,12.58895302,61.22999954,75.90000153,100.1790237,18.63999939,36.7972908
7/12/17,59.82976532,967.6599731,943.8300171,29.71442223,342.6499939,36.30634308,26.17000008,25.48999977,65.19000244,110.5327148,158.8999939,21.11533737,35.11000061,158.75,12.52254486,61.50999832,77.30999756,100.6999969,19.25,37.08041763
7/13/17,59.31990814,968.8499756,947.1599731,29.21420288,339.0400085,36.57616806,26.15999985,25.48999977,64.65000153,108.8349838,159.2599945,21.16702271,35.5,158.2100067,12.55100441,60.90999985,76.33000183,100.6131744,19.31999969,37.31206512
7/14/17,59.56503296,976.9099731,955.9899902,29.28681564,342.7999878,36.47383118,26.21999931,25.54999924,66,108.8449631,159.9700012,21.27040863,35.47999954,161.1199951,12.87355518,61.24000168,76.20999908,101.384964,19.63999939,37.37211609
7/17/17,59.31990814,975.960022,953.4199829,29.35942841,342.3099976,36.47383118,26.39999962,25.55999947,65.87000275,109.2943649,159.7299957,21.44270515,35.58000183,161.6999969,12.97791195,61.38000107,76.09999847,101.0955353,19.94000053,37.45790863
7/18/17,60.13372421,986.9500122,965.4000244,29.03671265,344.6300049,36.45521164,26.04999924,25.36000061,65.52999878,110.1332474,162.8600006,21.45132256,35.70000076,183.6000061,12.93047714,61.38999939,77.47000122,102.0216904,19.97999954,37.20052719
7/19/17,60.13372421,992.7700195,970.8900146,29.14966202,346.6099854,36.60409164,27.18000031,26.20999908,65.08999634,111.4315186,164.1399994,21.39101601,36.38999939,183.8600006,13.21508026,61.97000122,78.43000031,103.0539627,20.12000084,37.27774048
7/20/17,59.8885994,992.1900024,968.1500244,29.46431732,345.2999878,36.74365616,26.60000038,25.70999908,65.08999634,111.8209991,164.5299988,21.91653061,36.38000107,183.6000061,13.24353981,61.11999893,78.02999878,103.5749435,20.53000069,37.93835831
7/21/17,59.74152374,993.8400269,972.9199829,29.45624352,350.0700073,36.87391281,26.54999924,25.51000023,64.72000122,112.0706635,164.4299927,21.97683334,36.65999985,188.5399933,13.21508026,62.58000183,79.25,103.3144455,20.11000061,37.94693375
7/24/17,60.24157333,998.3099976,980.3400269,29.23034286,348.0799866,36.72504807,26.48999977,25.47999954,64.33000183,113.5986328,166,22.02852631,36.86000061,187.9100037,13.26251507,62.52999878,79.66999817,103.2276306,20,37.50080109
7/25/17,59.76113129,969.0300293,950.7000122,29.22227478,348,36.98557281,25.93000031,25.06999969,64.44000244,113.5087509,165.2799988,19.09081078,36.63000107,186.9700012,13.39532852,62.36000061,80.84999847,102.6680679,19.96999931,37.73244858
7/26/17,61.41816711,965.3099976,947.7999878,30.68258095,348.769989,36.61339188,26.57999992,25.54000092,64.26999664,117.8429718,165.6100006,18.47053528,36.70000076,189.0800018,13.49968243,62.38999939,81.45999908,103.1697388,19.61000061,38.09279251
7/27/17,59.97684097,952.5100098,934.0900269,31.79596519,366.8999939,36.68783188,26.38999939,25.13999939,63.88000107,117.4435043,170.4400024,18.39300346,37.06000137,182.6799927,13.53763103,61.61999893,79.70999908,106.1218567,16.84000015,41.01838684
7/28/17,60.25138092,958.3300171,941.5300293,31.46517181,370.2600098,36.77156067,26.79999924,25.5,63.93999863,118.0926437,172.4499969,18.61699295,37.47999954,184.0399933,13.65147209,61.77999878,80.09999847,106.0832672,16.75,41.12991714
7/31/17,60.57493973,945.5,930.5,31.46517181,391.9700012,37.63689804,24.60000038,23.12999916,64.02999878,116.5846481,169.25,18.61699295,37.27000046,181.6600037,13.57557774,61.65999985,79.48000336,106.0543213,16.09000015,41.52457047
8/1/17,61.18284988,946.5599976,930.8300171,31.36836052,387.4200134,37.53454208,24.37999916,22.97999954,65.48999786,116.7644119,169.8600006,18.72898483,37.54000092,182.0299988,13.68941879,63.06999969,79.93000031,106.7103577,16.20999908,41.94496536
8/2/17,60.25138092,947.6400146,930.3900146,30.87621117,385.5400085,37.22749329,25.01000023,23.79000092,64,116.67453,169.3000031,18.69452477,37.15999985,180.7400055,13.53763103,63.63000107,79.38999939,104.8387451,16.06999969,41.36156082
8/3/17,62.72222519,940.2999878,923.6500244,30.88427925,384.2999878,36.93905258,24.73999977,23.59000015,61.11000061,118.6918411,168.5899963,18.80652046,37.31999969,179.2299957,13.51865768,63.72999954,89.08999634,105.2728882,16.18000031,41.7047348
8/4/17,60.80045319,945.789978,927.960022,31.00530052,384.6300049,36.8460083,23.72999954,22.60000038,60.61999893,117.0640106,169.6199951,18.35854149,37.36000061,180.2700043,13.39532852,64.51999664,87.70999908,103.8933029,16.29000092,41.96212006
8/7/17,61.29070282,945.75,929.3599854,31.07790184,381.019989,36.8553009,24.25,23.02000046,60.04000092,116.8043594,171.9799957,18.56529999,37.88999939,181.3300018,13.60403728,64.26000214,90.51999664,102.6005325,16.39999962,41.9192276
8/8/17,60.13372421,944.1900024,926.789978,30.94882202,389.75,37.14375305,24.29999924,23.02000046,59.70999908,116.3449707,171.2299957,18.22069931,37.86000061,178.3600006,13.50916958,63.90000153,91.51999664,103.2083282,16.14999962,41.69615936
8/9/17,60.18274689,940.0800171,922.9000244,30.94882202,400.8999939,37.80437088,23.60000038,22.38999939,59.74000168,115.9554901,171.1799927,18.21208572,37.5,175.7799988,13.44276428,63.79999924,90.97000122,99.20464325,16.13999939,41.37015152
8/10/17,59.03556824,923.5900269,907.2399902,30.81166267,398.6799927,37.89742279,23,21.93000031,58.18999863,113.8383102,167.3999939,17.90194893,39.61000061,169.1399994,12.97791195,62.47000122,88.31999969,97.77681732,15.75,41.19854736
8/11/17,59.55522919,930.0900269,914.3900146,30.73905373,394.4899902,38.25099182,22.90999985,21.87000084,58.45999908,115.2963638,168.0800018,17.8071804,38.34000015,171.3999939,12.74074268,63.61000061,89.30000305,98.39425659,15.92000008,41.23286819
8/14/17,60.68279648,938.9299927,922.6699829,31.06176949,401.0799866,38.98604965,22.89999962,21.75,58.72000122,116.954155,170.75,18.22069931,39.36999893,171,12.68381977,63.77999878,90.70999908,97.82505798,16.09000015,41.85058975
8/15/17,60.7612381,938.0800171,922.2199707,30.78746033,397.730011,38.61386871,22.76000023,21.52000046,58.15000153,117.273735,171,18.07424545,39.79000092,168.5,12.62690163,63.88000107,90.66000366,97.93117523,15.94999981,41.59320831
8/16/17,61.66328812,944.2700195,926.960022,30.84394264,400.7799988,38.37195206,22.60000038,21.35000038,58.45999908,119.0913086,170,18.14316559,39.75,169.9799957,12.56997871,64.27999878,92.01999664,98.59684753,16.15999985,41.53315353
8/17/17,60.17294312,927.6599731,910.9799805,30.3356514,393.3599854,37.46941376,22.23999977,21.03000069,56.93999863,116.3150101,166.9100037,17.78995323,39.04000092,166.0899963,12.55100441,62.99000168,90.94000244,97.80576324,15.86999989,41.08701324
8/18/17,60.80045319,926.1799927,910.6699829,30.15009117,392.9700012,37.70202637,22.48999977,21.25,56.84000015,116.7244644,167.4100037,17.66934204,38.38000107,166.5399933,12.58895302,63,92.06999969,97.14972687,15.98999977,40.91543198
8/21/17,60.57493973,920.8699951,906.6599731,30.31951904,396.4500122,37.96255112,22.34000015,21.09000015,56.65000153,116.6845169,167.7799988,17.73825836,38.97999954,166.7599945,12.62690163,62.83000183,91.98000336,97.60315704,16.11000061,41.30150986
8/22/17,63.00657272,940.4000244,924.6900024,30.64223671,397.0499878,38.47430038,22.48999977,21.21999931,57.45000076,118.8716049,169.6399994,18.00532913,39.34999847,169.3399963,12.70279312,64.37999725,94.94999695,99.1467514,16.62999916,41.48167419
8/23/17,62.76144791,942.5800171,927,30.59382629,390.3299866,37.82297897,22.48999977,21.20000076,57.27999878,118.0227356,168.7100067,16.8681488,39.22999954,169.0599976,12.50357151,64,94.40000153,97.92153168,16.95999908,41.4216156
8/24/17,62.19276047,936.8900146,921.2800293,30.4002037,389.230011,37.34844589,22.52000046,21.25,57.31000137,117.6632156,167.7400055,17.22136116,39.27000046,168.1300049,12.52254486,63.97000122,95.25,97.94082642,16.88999939,41.44736099
8/25/17,61.35934067,930.5,915.8900146,30.65031624,388.7900085,37.40428162,22.65999985,21.38999939,56.63999939,116.7743988,166.3200073,17.40228081,39.27999878,165.9499969,12.73125458,63.74000168,94.63999939,98.79945374,16.64999962,41.76478958
8/28/17,61.52602386,928.1300049,913.8099976,30.60997009,389.230011,37.53454208,22.80999947,21.52000046,56.65999985,118.5720062,167.2400055,17.46258163,38.93999863,167.1199951,12.74074268,63.72000122,95.80999756,98.94415283,16.77000046,41.7047348
8/29/17,62.24178696,935.75,921.289978,30.53735542,388.8200073,37.36706543,22.45000076,21.18000031,57.77000046,119.0713425,168.0500031,17.22136116,38.90000153,168.8099976,12.67433357,63.47000122,95.79000092,98.95380402,16.93000031,41.61894608
8/30/17,64.39887238,943.6300049,929.5700073,30.3921299,393.3699951,37.98116302,22.19000053,20.85000038,57.20000076,121.8076935,169.9199982,17.21266747,39.47999954,174.6900024,12.61741352,64.25,97.65000153,99.24323273,16.93000031,41.28434372
8/31/17,64.28120422,955.2399902,939.3300171,30.22270203,398.5400085,37.7857666,22.20999908,21.01000023,57.29000092,121.3383179,171.9700012,17.50823784,39.95999908,174.7100067,12.68381977,64.70999908,97.79000092,97.6321106,16.90999985,41.15565872
9/1/17,63.8497963,951.9899902,937.3400269,30.23884392,392.480011,38.2044754,22.15999985,20.92000008,58.47000122,119.1512299,172.0200043,17.55170822,40.09999847,174.7400055,12.75971508,64.16000366,95.87999725,97.92153168,16.86000061,41.11275864
9/5/17,63.78116608,941.4799805,928.4500122,29.92419052,393.3200073,37.8415947,21.62000084,20.40999985,57.15000153,118.0526962,170.7200012,17.56908989,40.24000168,174.5200043,12.59844017,63.63999939,97.08999634,98.01800537,16.64999962,40.63230896
9/6/17,62.75164032,942.0200195,927.8099976,29.50465393,402.5,38.3068161,21.86000061,20.62999916,57.59999847,116.8443069,172.0899963,17.86466217,40.22000122,179.25,12.70279312,63.79000092,95.81999969,97.92153168,16.82999992,40.24622726
9/7/17,64.54594421,949.8900146,935.9500122,28.72205544,395.6400146,35.91555023,21.34000015,20.10000038,55.47999954,118.7717361,173.2100067,17.49085236,40.18000031,179,12.83560944,63.34000015,99.5,93.63806915,17.21999931,39.63708878
9/8/17,63.66350174,941.4099731,926.5,28.71398926,392.8999939,35.55267715,21.25,20.05999947,54.59999847,118.1225967,170.9499969,17.71687508,40.61000061,176.4199982,12.46562481,62.74000168,99.62000275,93.64771271,17.45000076,39.55987549
9/11/17,64.86951447,943.289978,929.0800171,28.83501434,381.0100098,35.19910049,20.79999924,19.62000084,54.56000137,121.0287323,173.5099945,17.66471863,41.15999985,181.7400055,12.65535831,63.02999878,100.1100006,93.66700745,17.65999985,39.72288132
9/12/17,64.8008728,946.6500244,932.0700073,29.2545433,381.5700073,35.26423264,21,19.77000046,54.59000015,120.2497711,172.9600067,17.43000031,41.52000046,185.1499939,12.67447758,62.97999954,99.94999695,94.43880463,18.17000008,40.14328003
9/13/17,64.12433624,950.4400024,935.0900269,29.48851776,385.1300049,35.32005692,21.20000076,19.95999908,53.93999863,119.4408417,173.0500031,17.57778358,41.45000076,183.6399994,12.42595768,62.79999924,98.77999878,95.33601379,18.20000076,40.53793335
9/14/17,63.89881516,940.1300049,925.1099854,29.30295563,376,34.98509979,21.47999954,20.20000076,53.06999969,119.031395,170.9600067,17.55170822,41.47999954,182.6300049,12.47374916,61.16999817,99.38999939,94.44845581,18.20999908,40.47787094
9/15/17,63.73213959,935.289978,920.289978,29.9322567,369.4700012,34.36169052,21.94000053,20.63999939,52.95000076,119.2610855,171.6399994,17.39522743,42.09000015,182.3500061,12.51198387,61.16999817,100.3899994,95.04659271,18.01000023,41.06127548
9/18/17,62.94773102,929.75,915,30.1904335,368.1700134,34.52916336,21.31999969,20.13999939,52.84999847,119.8003616,170.0099945,17.42130661,42.16999817,184.6199951,12.51198387,61.79999924,100.8199997,94.64139557,17.60000038,41.25860977
9/19/17,63.05559158,936.8599854,921.8099976,30.82780266,364.019989,34.70595932,21.29000092,20.05999947,53.38000107,120.0500336,172.5200043,17.43000031,43.18999863,185.6799927,12.47374916,65.41999817,102.3799973,94.95976257,17.76000023,42.3310318
9/20/17,63.73213959,947.539978,931.5800171,31.00530052,367.0100098,34.85483551,21.26000023,20.06999969,53.56000137,120.1798553,172.1699982,18.07330513,43.11999893,185.5099945,12.58845043,63.52000046,102.9599991,95.71226501,17.62000084,42.45114517
9/21/17,62.85949707,947.5499878,932.4500122,30.83587074,361.0799866,34.86413574,21.35000038,20.29999924,53.25,117.8629456,171.1100006,18.12545776,43.58000183,188.7799988,12.50242519,63.38999939,101.7200012,95.40354919,17.57999992,41.98786163
9/22/17,62.65359116,943.2600098,928.5300293,31.13438988,360.2999878,35.4503212,21.40999985,20.42000008,53.25999832,118.342308,170.5399933,18.49926949,43.5,187.3500061,12.45463276,64.05999756,102.8399963,95.12377167,17.61000061,42.81148911
