Date,ABT,ABBV,ABMD,A,ALXN,ALGN,ABC,AMGN,ANTM,BAX,BDX,BIO,BIIB,BSX,BMY,CAH,CNC,CERN,CI,CVS,DHR,DVA,XRAY,DXCM,EW,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,IQV,JNJ,LH,LLY,MCK,MDT,MRK,MTD,PKI,PRGO,PFE,DGX,REGN,RMD,STE,SYK,TFX,COO,TMO,UNH,UHS,VAR,VRTX,WAT,WST,ZBH,ZTS
9/12/17,49.24888229,74.35152435,157.9100037,64.18041992,144.0700073,185.6600037,78.79051971,172.7540588,181.8615265,61.95967865,193.8872223,218.0399933,329.6900024,29.01000023,56.75482178,60.98527908,45.43999863,69.67893219,185.4236145,74.11093903,85.67545319,60.29000092,57.81739044,73.61000061,38.22999954,74.81772614,76.44895172,68.98823547,38.18999863,248.86763,158.9799957,213.9299927,123.1500015,348.3333435,97.51999664,121.5193863,158.6699982,76.04525757,150.918869,76.12287903,58.99407959,629.4199829,67.81528473,84.98271179,29.40696526,99.35801697,444.480011,77.57640839,84.41769409,137.8277588,232.0541382,249.8518219,192.1894531,187.8656921,111.330452,107.8000031,156.8200073,190,89.86310577,113.2214127,64.03505707
9/13/17,49.01324463,74.96157837,158.4600067,63.5011673,146.4600067,183.5700073,79.18493652,171.5782471,182.3227997,62.40397644,188.5366058,220.4700012,324.0499878,29.07999992,56.26849365,60.85353851,49.08000183,69.21755981,187.4921875,74.69532776,85.64599609,59.77999878,57.52557755,74.95999908,37.25999832,74.082901,76.62365723,66.22744751,37.56000137,245.394577,159,213.4299927,123.5899963,347.6266785,96.56999969,121.3544693,155.2100067,76.28587341,152.1929321,75.78066254,58.98505783,623.8800049,67.78561401,84.98271179,29.14923096,98.76665497,437.7399902,76.35829163,84.09900665,137.3475952,230.5171814,246.4242859,189.6439819,188.6838531,110.4394989,107.6800003,156.8000031,189.6499939,89.54819489,112.696312,63.91756439
9/14/17,48.72105026,75.59705353,158.8699951,63.73406219,144.6100006,184.8600006,75.77602386,171.3430786,179.4685974,62.12387085,189.4763336,224.3699951,323.6600037,28.96999931,56.45761871,59.24634552,47.95999908,70.62133026,185.1038208,74.29974365,86.83390045,59.70999908,56.53342056,72.34999847,37.16666794,73.30786896,77.52636719,63.19607925,37.74000168,244.5263062,158.8000031,211.0399933,119.7600021,346.8333435,95.44999695,122.9395447,154.0899963,76.87815857,146.4017334,75.66042328,60.01989365,624.7999878,67.97355652,84.8490448,29.70627022,97.57468414,441.2600098,77.25988007,83.81899261,138.7496338,230.8422699,246.8639526,190.0107422,188.1130371,110.4394989,107.8700027,153.3800049,189.3200073,90.22724152,112.793541,63.88818359
9/15/17,48.78702545,74.02953339,158.5800018,64.00576019,146.6900024,184.5,76.63057709,169.5612793,179.3148193,61.77616501,187.3092651,227.9100037,321.2600098,28.93000031,56.26849365,59.28146744,47.99000168,70.16976166,185.9232635,74.77624512,86.59828186,59.63000107,57.72012329,70.29000092,37.83333206,73.37023926,76.91485596,65.00392151,37.72000122,243.1898193,158.9700012,210.7200012,119.1500015,346.0100098,94.47000122,123.1869125,153.6000061,76.29511261,144.6643524,75.95639801,60.05620956,626,68.32965088,82.9681778,29.39865494,96.9833374,433.4500122,75.99381256,83.66448975,138.1638641,231.7585602,245.0352936,188.9599762,188.541153,109.5584335,106.3300018,153.6100006,187.7299957,94.39022064,112.2878723,63.8392334
9/18/17,49.08864975,72.2925415,157.8999939,64.12221527,143.6399994,188.3399963,75.75720978,168.6568146,177.7868347,62.11421967,187.568161,229.5899963,318.1799927,28.98999977,56.46662521,58.90383148,47.29000092,68.02973175,185.1737671,74.90211487,86.50009918,60.70999908,57.10732269,69.26000214,37.5633316,73.91365814,75.40061951,63.45098114,37.36000061,242.3800659,162.1000061,209.3999939,118.4000015,348.7633362,95.06999969,124.0390396,153.75,76.36915588,143.2551727,76.21537781,59.90187836,633.2800293,68.72531128,82.70082092,29.55662155,95.96691895,434.6400146,76.28155518,83.75140381,138.7880096,236.1921692,248.9324646,190.1792297,188.5506439,107.8259888,106.8399963,153.1999969,188.9499969,95.21691895,113.0950012,63.8392334
9/19/17,48.45712662,73.18222809,157.1000061,64.20953369,142.8300018,187.1799927,74.45186615,168.5211334,174.3656158,61.83411789,185.0654755,230.3500061,317.9299927,28.69000053,56.67375183,58.19245148,44.88999939,68.38313293,181.3863525,74.71330261,85.28276825,59.27999878,56.27079391,69.45999908,37.0933342,73.30786896,74.06113434,62.07058716,37.13000107,234.1755371,160.5299988,204.9499969,117.0899963,348.4899902,95,123.8924103,152.8500061,75.63806152,143.2069244,75.09621429,59.8655777,632.2700195,68.30986023,81.44055939,29.47347832,94.11891174,431.3800049,76.20482635,83.91555023,137.357193,236.211853,235.8218384,187.958847,185.1828308,106.9053574,106.1800003,153,184.75,93.06162262,112.2976151,63.42797852
9/20/17,48.90956116,74.06343079,157.4199982,64.13191986,142.9199982,188.7799988,74.65847015,170.1944122,176.3356628,62.08524704,186.024353,233.1499939,319,28.84000015,57.17808914,58.58766556,45.38000107,68.42240143,181.6961517,72.55552673,84.88024902,60.52999878,57.04895401,70.23000336,37.24000168,73.61966705,75.46858215,63.05097961,37.38000107,233.8243256,158.4799957,203.0899963,114.8700027,348.7900085,94.63999939,122.0599365,154.1499939,75.90642548,144.953949,74.14351654,59.72033691,635.1699829,68.24060822,81.61241913,29.9224453,94.06349182,438.1700134,76.34868622,84.08938599,137.040329,233.3645172,235.9417419,186.9478302,186.2293396,109.0436554,106.9800034,152.7200012,183.8600006,93.17972565,113.017189,63.1342392
9/21/17,48.47598267,74.06343079,159.7899933,63.96694183,142.9199982,186.3200073,75.48485565,168.8105621,176.3453064,61.21596909,183.6846619,230.8899994,315.0299988,28.76000023,57.0340004,58.6403389,45.36999893,68.20642853,182.0059357,71.53057861,84.84098053,61.25999832,56.23188782,69.5,36.77666855,73.60185242,75.37151337,62.21176529,37.52999878,232.8097687,155.7599945,200.2400055,115.0500031,343.4033203,94.22000122,120.7131042,153.8899994,77.1187973,147.260788,73.56079102,59.54785919,631.4099731,67.45921326,81.19232941,29.90581703,93.83248901,433.4500122,74.1618042,83.78036499,135.0813599,233.5615692,232.2443848,186.263855,185.7156067,107.3409271,104.6299973,152.0599976,181.7899933,92.63842773,110.1717911,62.89926147
9/22/17,49.49394989,74.12274933,163.9600067,63.83107758,142.8200073,188,76.11408234,168.0146332,175.7302399,61.34152985,185.1230164,228.6799927,318.4599915,28.85000038,57.06101608,58.54374695,46.11000061,68.35368347,182.615509,71.59351349,85.1944046,57.49000168,56.93222427,69.98999786,36.88000107,74.18090057,75.92479706,62.4313736,37.56999969,233.248764,157.5,201.4100037,110.8499985,343.8399963,94.69999695,120.3832703,155.0700073,77.65556335,148.6506348,73.71802521,59.12123108,632.8599854,67.42952728,81.08730316,29.89749527,94.34992218,432.7200012,74.21937561,84.0507431,135.2926331,238.2020416,239.5991669,186.6504364,183.6416626,108.1922836,105.1900024,151.2599945,181.1600037,93.70132446,111.4775696,62.8209343
9/25/17,49.58820343,73.35168457,160.3099976,62.81220627,143.9600067,184.8899994,76.04833221,168.4939728,174.4232941,60.61714172,185.2572479,225.3699951,317.5100098,28.75,56.90791702,59.14095306,45.16500092,68.11806488,181.3164063,73.15790558,84.4286499,57.68000031,57.54504013,69.15000153,36.81999969,74.4838028,74.01258087,63.01176453,37.36000061,231.4147034,154.5200043,201.3800049,109.6900024,339.1133423,94.94999695,120.1816864,150.3200073,78.33113098,149.1332245,72.39535522,59.16662216,625.6099854,67.7064743,81.1445694,29.52336311,87.38295746,438.1499939,74.04672241,83.52929688,134.5724335,238.9803925,239.6790771,185.6790314,182.4238892,106.8063583,103.9899979,149.1000061,180.3200073,93.7505188,111.4483337,62.34114838
9/26/17,49.81441879,72.31795502,160.6100006,62.21056747,139.6999969,184.1999969,77.00622559,167.8699493,177.0949097,60.38533783,186.3312073,223,317.0599976,28.68000031,56.67375183,59.56251144,46.15999985,68.5892868,183.5149078,73.40964508,83.89853668,58.47000122,57.92438507,67.91999817,36.86333466,74.61742401,75.37151337,63.05097961,37.41999817,233.36586,153.2400055,198.4400024,109.1500015,338.8800049,94.08000183,119.9709625,150.8200073,77.94245911,149.4903412,72.48786926,58.78536224,625.3900146,67.43943787,80.95362854,29.34877205,87.13346863,434.9700012,73.18347931,83.79968262,135.4750824,237.2266541,235.6819611,186.0259399,183.3276825,107.9151077,103.4800034,148.4600067,178.9799957,93.69147491,111.8186264,62.00825119
9/27/17,49.15462875,71.80956268,163.7200012,62.48227692,139.4499969,184.7799988,77.41002655,167.2187042,179.1802979,60.32738113,186.0723114,224.4400024,312.7999878,28.86000061,56.69177246,59.84355545,46.86000061,69.76728821,184.3043671,73.24782562,83.89853668,58.31000137,58.13837814,67.47000122,36.45666885,74.70650482,75.87624359,63.63137436,37.16999817,233.0341187,156.4499969,197.7599945,110.3099976,341.3599854,95.20999908,118.8806534,149.4700012,78.34039307,150.5231323,71.99762726,58.61289215,628.7800293,67.71637726,81.28779602,29.47347832,86.01541901,435.4299927,73.04920197,84.60118103,135.3695068,237.6699982,235.252243,186.818924,185.0306244,108.6773834,101.5999985,149.0700073,178.7400055,94.21307373,113.2803192,61.89075089
9/28/17,50.55904388,75.37675476,162.3399963,62.08443069,138.3399963,183.0399933,76.05773163,167.7433014,182.3804321,60.211483,185.6408081,222.3800049,310,28.73999977,56.74580765,58.81599808,47.91999817,69.48260498,186.8726044,73.05900574,83.62317657,58.47000122,57.6980629,45.43999863,36.29000092,72.0785141,76.77897644,63.41960907,36.65000153,237.216568,154.3699951,199,113.1399994,341.9599915,94.95999908,118.6240997,149.75,78.66432953,148.3707581,72.30467987,58.35873032,624.4799805,67.59767151,79.43556976,29.5981884,84.97129059,435.1099854,73.00125122,84.64945984,135.056427,236.940918,231.4349518,184.8166351,186.5623169,108.6278687,99.73000336,149.6199951,178.7799988,94.78388977,112.7053833,61.99845505
9/29/17,50.29512787,75.29203033,168.6000061,62.29789734,140.2899933,186.2700043,77.7105484,168.6387329,182.4765778,60.60748672,187.894165,222.2200012,313.1199951,29.17000008,57.40323257,59.18034363,48.38499832,70.01269531,186.8126526,73.11294556,84.35085297,59.38999939,58.26307297,48.93000031,36.4366684,72.17649841,77.25457001,64.30588531,36.68999863,238.0765228,155.4900055,199.1999969,116.7399979,348.6266785,95.06999969,119.1188507,150.9700012,79.16405487,148.2645416,72.36051178,58.122715,626.1599731,68.22083282,80.81997681,29.68133354,86.52362061,447.1199951,73.81651306,85.36404419,136.7901764,238.3990936,236.9410248,187.5425568,186.3244781,109.8257141,100.0599976,152.0399933,179.5200043,94.73468018,114.0988541,62.4292717
