Date,APA,BKR,COG,CVX,COP,DVN,FANG,EOG,XOM,HAL,HES,HFC,KMI,MRO,MPC,NOV,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
6/5/17,42.82769775,33.95028305,20.27137947,88.62919617,39.83791733,30.27148628,86.58588409,84.16011047,65.60182953,41.88358307,42.79483032,21.56666183,15.65419674,12.24312878,46.18115616,32.18044281,50.34095764,37.93286896,67.28030396,159.6935272,60.34357452,27.19514465,52.58298874,23.16539764
6/6/17,44.02830887,34.48996353,20.74280357,89.47092438,40.25421524,31.05002975,88.60128021,85.69801331,66.49432373,42.51201248,43.56513977,21.41547012,15.52209473,12.33893204,46.43480301,32.35635376,51.67366791,38.45587158,67.43785858,162.7810974,60.95337677,27.13904953,52.49029922,23.3731575
6/7/17,42.87352753,33.67113876,20.83709145,89.12734985,39.42162704,29.23648262,84.62779236,83.16945648,66.24868774,41.03334427,41.57900238,21.39768219,15.42301464,11.69707489,46.32985306,31.79932213,51.02870178,37.58676529,67.36785126,159.1628723,59.82089233,26.38181114,52.49871445,23.19553947
6/8/17,43.07516098,33.70835495,21.04451561,89.32491302,38.97816849,28.84263992,83.88276672,83.13169098,66.0112381,40.78381729,40.36320114,21.84235764,15.48906803,11.58211803,46.73218536,31.84818268,49.73876572,37.29449844,67.75302124,157.686615,59.50727844,26.2509346,53.24026489,23.3570137
6/9/17,44.30324936,34.44654083,21.5725174,91.38626099,40.56191254,29.84100151,86.10829163,84.99040222,67.24761963,41.44921112,42.21940613,22.82064056,15.7532711,12.01321125,47.85173035,33.43130875,51.77550125,38.03285217,69.65253448,163.4950867,60.70074844,26.68096924,54.99304199,23.72839928
6/12/17,44.37656021,34.83734512,21.47823715,92.79483032,41.37641525,29.96923256,86.5954361,84.80168152,67.90265656,41.51390839,42.11730957,22.98072052,15.79455853,12.08985233,47.64181137,33.52902985,51.6397171,38.44817352,70.21277618,161.9126892,60.37840652,26.83054543,55.54920578,23.79298973
6/13/17,45.10977173,35.40184402,22.03451729,92.87213135,42.01895905,30.73085213,88.29563141,85.44326782,67.92722321,42.364151,43.22174835,23.541008,15.87712097,12.46346951,48.13160706,33.72447586,51.76701736,38.61738205,70.58042145,162.8196564,60.41325378,27.00816727,56.06323624,23.85757637
6/14/17,43.73502731,34.80632782,21.77994156,91.55802155,41.1049118,29.53795052,85.391922,83.90536499,67.1984787,41.43073273,42.26064301,22.43821716,15.65419674,12.1090126,46.66220856,32.07055283,51.0202179,38.29434586,68.96099854,159.066391,59.39403152,26.53138924,54.56327438,23.24398422
6/15/17,43.80834579,34.93659592,22.00623322,91.3261261,41.07776642,28.89562607,82.02017975,82.12216187,67.35406494,40.73760223,40.58104706,22.62498093,15.53035069,11.85035515,46.34733963,32.10970306,50.40919876,37.67136765,69.22360229,152.4667816,58.6535759,25.85828972,54.51271439,22.84837532
6/16/17,45.40304565,35.53831863,21.79880524,93.06109619,42.10945892,29.14337921,81.06501007,83.51853943,68.36118317,40.91319656,40.70235062,23.35424423,15.84409523,11.99405384,47.0295639,32.94155121,52.47138596,39.20190811,70.85179138,153.2097168,59.74248505,25.79284859,55.4480896,23.51041412
6/19/17,45.65966415,35.07927704,21.29909134,92.29667664,41.95560455,28.73962784,82.03929138,83.09394836,67.76345825,40.63594437,40.08649445,23.78113365,15.73676109,11.96531391,47.48437881,32.86326218,52.64111328,38.61738205,71.11438751,153.2097168,59.32434464,25.45629692,56.13064194,23.30857086
