Date,TSLA,AAPL,SQ
2018-12-27,63.22600173950195,38.073455810546875,56.150001525878906
2018-12-28,66.77400207519531,38.092960357666016,55.869998931884766
2018-12-31,66.55999755859375,38.46113967895508,56.09000015258789
2019-01-02,62.02399826049805,38.50502395629883,57.20000076293945
2019-01-03,60.071998596191406,34.669639587402344,52.41999816894531
2019-01-04,63.53799819946289,36.149662017822266,58.18000030517578
2019-01-07,66.99199676513672,36.0692024230957,60.720001220703125
2019-01-08,67.06999969482422,36.75679397583008,63.119998931884766
2019-01-09,67.70600128173828,37.380985260009766,65.93000030517578
2019-01-10,68.99400329589844,37.500465393066406,66.0999984741211
2019-01-11,69.4520034790039,37.13228988647461,66.2300033569336
2019-01-14,66.87999725341797,36.57392120361328,65.18000030517578
2019-01-15,68.88600158691406,37.322471618652344,65.95999908447266
2019-01-16,69.20999908447266,37.77842330932617,65.9000015258789
2019-01-17,69.46199798583984,38.00273895263672,68.83999633789062
2019-01-18,60.45199966430664,38.236812591552734,72.23999786376953
2019-01-22,59.784000396728516,37.37855529785156,67.8499984741211
2019-01-23,57.518001556396484,37.52972412109375,69.0999984741211
2019-01-24,58.301998138427734,37.23225402832031,73.94000244140625
2019-01-25,59.40800094604492,38.466007232666016,77.97000122070312
2019-01-28,59.2760009765625,38.11002731323242,76.22000122070312
2019-01-29,59.492000579833984,37.715030670166016,68.55999755859375
2019-01-30,61.75400161743164,40.292266845703125,71.52999877929688
2019-01-31,61.40399932861328,40.582427978515625,71.3499984741211
2019-02-01,62.44200134277344,40.60193634033203,70.80000305175781
2019-02-04,62.577999114990234,41.755226135253906,71.75
2019-02-05,64.2699966430664,42.469642639160156,72.27999877929688
2019-02-06,63.444000244140625,42.48426818847656,72.66999816894531
2019-02-07,61.50199890136719,41.67964553833008,71.94999694824219
2019-02-08,61.15999984741211,41.728614807128906,73.48999786376953
2019-02-11,62.56800079345703,41.48863983154297,74.31999969482422
2019-02-12,62.36199951171875,41.846160888671875,75.58999633789062
2019-02-13,61.63399887084961,41.67229461669922,75.62999725341797
2019-02-14,60.75400161743164,41.824119567871094,75.66999816894531
2019-02-15,61.57600021362305,41.73106002807617,75.63999938964844
2019-02-19,61.12799835205078,41.855953216552734,76.63999938964844
