Date,MO,ADM,CPB,CHD,KO,CL,CAG,STZ,COST,COTY,EL,GIS,HRL,SJM,K,KMB,KHC,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WBA,WMT
3/15/17,59.88493729,39.61960983,52.33034134,47.45801544,37.24029541,67.26306915,37.30918121,153.1728516,149.9141235,17.04025078,82.17021179,52.62060547,32.65988541,123.6185226,65.61022949,119.6302948,77.34236908,26.53018761,47.70754623,89.77348328,40.90041733,47.09000015,99.40085602,90.89147949,81.41439056,47.51260757,125.4472809,99.44789124,58.43511581,75.90078735,65.26701355
3/16/17,59.59212112,39.47877502,51.8631134,47.39181137,37.35523224,67.22668457,37.29119873,153.0972595,150.3821869,17.19160271,82.41096497,52.31947327,32.25428772,123.2453995,65.61901093,119.2137833,78.12558746,26.97174835,47.52490616,90.07611847,41.2033844,46.88000107,99.42770386,91.11785889,81.45000458,47.26861954,124.8592377,99.61170197,57.41644669,75.78578186,65.13755798
3/17/17,59.4813385,39.36434937,52.18928909,47.38236237,37.16072464,67.28126526,37.23725891,152.8232422,151.0573273,17.29843712,82.77687073,52.19042206,32.18975449,123.094368,65.92621613,118.0883789,77.460289,27.18332481,47.76841736,90.21365356,41.08403015,46.47000122,99.65135956,91.36039734,81.05808258,47.65718079,124.4339981,99.19313049,57.26826096,75.99810028,64.62893677
3/20/17,59.81372452,39.47877502,52.01297379,47.46747208,37.29335403,67.13570404,36.69784546,153.5791016,150.7242889,17.04915619,83.30651093,51.84626007,32.21740341,123.0499191,65.81210327,118.5137329,77.78029633,26.85215759,47.77779007,90.45206451,40.79943466,46.79999924,99.43665314,92.17697906,81.25405121,47.09693527,124.3616257,99.04753113,57.74981689,74.86576843,64.71218872
3/21/17,60.09069824,39.56679916,50.32917023,47.60933685,37.57627869,67.04473114,36.67087555,155.5254364,150.1301422,16.49716949,83.27761841,51.41607285,31.7841568,119.5938721,64.60083008,118.460556,77.39289856,26.61297989,47.61387634,89.89270782,40.48727798,46.68999863,99.99131012,92.60126495,81.22732544,46.80776978,124.4068298,98.37419128,57.6572113,73.60961151,64.63819885
3/22/17,59.41008759,40.14776611,50.17047882,47.55259323,37.47018433,67.02655029,36.39218521,155.1380768,150.9403076,16.36362839,83.32578278,50.71057129,31.97773933,118.7320786,63.81964493,117.7162018,77.72135162,26.64057922,47.46870041,89.41587067,40.39547729,47.13000107,100.2149658,92.20146179,81.04917908,47.46741486,124.0992661,98.21949768,58.08320999,73.45037079,64.9618454
3/23/17,58.57913589,40.14776611,50.77877426,47.60933685,37.28450775,67.24488068,36.27531433,153.7397461,150.2381897,16.37252998,83.31613922,51.08053589,32.00539017,118.3056335,64.17075348,117.8845673,77.4855423,26.91655159,47.40313339,89.17744446,40.4138298,46.56000137,100.000267,92.16066742,80.85320282,47.57585144,124.4430466,98.36506653,57.7220459,73.40616608,64.60121155
3/24/17,57.90645218,40.12135315,50.63772202,47.49585724,37.24029541,67.0174408,36.38319016,155.0057831,149.4460449,16.4437561,82.82502747,50.89984894,31.82102776,118.2167816,64.07420349,117.3706055,77.20763397,26.76936531,47.30479813,88.96652985,40.21186066,46.93999863,100.3044281,91.21417236,80.67506409,47.72042847,124.6782379,98.25587463,57.94429398,73.39728546,64.37001801
3/27/17,57.93019104,39.91889572,50.68180466,47.55259323,37.41712952,66.79914093,36.08651733,154.6467285,149.5630646,16.25679207,82.64203644,50.58151245,31.47996712,118.065773,63.68800354,117.2908478,76.84552002,26.61297989,47.46870041,88.45302582,39.96397781,46.90000153,100.0450058,91.69557953,80.60379791,47.02464676,123.8820953,98.51067352,57.26826096,73.9192276,64.41629028
3/28/17,57.92228317,40.24458313,50.79640579,47.53367615,37.51438522,67.10840607,36.14046097,153.4657288,150.12117,16.5327816,82.43984222,50.77079391,31.6551075,118.2878571,63.77577209,117.618721,76.98027802,26.71417046,46.09653091,88.30631256,40.12004471,46.99000168,100.5996475,92.03826904,80.84431458,47.1692276,123.9092331,99.32052612,57.2497406,74.07845306,65.02657318
