Date,ARE,AMT,AIV,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,PEAK,HST,IRM,KIM,MAA,PLD,PSA,O,REG,SBAC,UDR,VTR,VNO,WELL,WY,SPGSLG
1/4/19,107.5249786,152.6508484,4.001626492,159.4971771,103.6354294,39.45000076,101.2367706,97.84598541,24.0942173,341.6631165,60.1539917,223.7082214,82.00054169,108.9693756,25.39062309,15.80821133,28.2285614,13.33191013,86.54598236,55.04224396,182.668335,57.2325592,52.28914261,161.441925,35.6421814,51.67962265,53.11636734,62.38921356,21.45749855,
1/7/19,108.1884766,153.5957947,4.004427433,159.0500031,104.2860031,40.00999832,101.7332611,99.14363098,24.28378868,342.3487549,60.65713501,224.6375732,81.86984253,110.3742294,25.69019127,15.9112854,28.54334641,13.79969597,86.4254303,55.93430328,182.1572876,57.06762695,52.80197144,163.0767365,35.7162056,51.96672821,54.13165283,63.12932968,21.88627434,
1/8/19,110.7002945,155.3314514,4.114572048,162.3480225,107.3715591,41.31999969,100.7402954,100.2078781,25.09893417,349.4565125,61.79388428,230.2514343,83.16743469,112.7310791,25.97160149,16.30484962,29.17292213,14.08756447,88.16877747,57.7943573,185.4278564,57.90146637,53.91917801,165.7221832,36.53046417,52.48711395,55.55480576,64.24407959,22.01677322,
1/9/19,111.1837006,153.9718475,4.122039318,163.7454987,109.1466751,41.61000061,98.98853302,95.06400299,25.23163223,345.072113,61.79388428,230.0542755,82.62601471,112.7218399,25.88082314,16.36107254,29.28351402,14.15953159,88.08531952,58.18345261,184.1363525,57.6723938,53.85507584,163.4235229,36.48662186,52.23589706,55.63291168,63.66843414,22.09134483,
1/10/19,113.3353424,156.0739441,4.219116211,165.8230591,110.8009644,42.09000015,100.0939178,98.09805298,25.73399162,357.9741211,62.80949402,233.4526062,83.98895264,114.3300323,26.20762634,16.56722641,29.53023911,14.2135067,89.55047607,59.19888306,186.6822052,58.57953262,54.54188156,166.5049133,37.32624435,53.19591904,56.43125153,65.09384155,22.65061569,
1/11/19,114.0651703,155.6303711,4.23965168,166.3820343,110.7359161,42.52999878,100.5904007,99.55438995,26.10365105,358.6984863,62.93993378,234.1566772,83.76490784,114.0620041,26.33471489,16.62344933,29.63233185,14.27647781,90.12541199,59.17990494,186.4777832,58.90941238,54.75251007,168.2289276,37.4568634,53.94060516,56.52671432,65.29485321,22.56672668,
1/14/19,112.9751511,155.6303711,4.220983982,166.000061,109.787941,42.31000137,99.69109344,99.43302917,26.08469582,363.671936,63.01447678,233.6497803,84.04496002,113.6830597,26.29840279,16.39855576,29.58128738,14.28547382,90.39700317,59.17040634,186.7100525,58.48790359,54.78913879,167.6047211,37.42886734,53.90471649,55.55480576,65.02987671,22.44555092,
1/15/19,114.6244278,157.2213898,4.282589912,167.4999847,110.6615601,42.59000015,100.6091385,100.1612091,26.37852478,369.8526001,63.78783417,237.1325989,85.49192047,114.8845901,26.75229454,16.36107254,29.64084244,14.53735828,91.7550354,59.98655319,189.5532379,59.34922409,55.49425888,168.9324036,38.09124374,54.37126923,55.91059113,66.14463043,22.47351646,
1/16/19,115.5438461,157.9253082,4.316193104,169.7079926,111.3679047,42.97999954,100.5435638,99.8344574,26.55861664,368.0466614,64.36551666,240.943985,85.89333344,115.5593033,26.95200539,16.37044525,29.81099701,14.69928551,93.07556152,60.29972839,189.831955,59.23926926,56.01623535,170.9833679,38.51105499,54.42510223,56.552742,66.32736969,22.72518921,
1/17/19,116.3495255,158.50383,4.367533207,170.8072968,111.9162292,43.75,100.815239,99.53572083,26.71974754,368.7420044,65.13887787,242.3708801,86.01469421,116.086113,27.06093597,16.42666817,30.14280128,14.89719391,93.65624237,60.78372574,190.4173279,59.38587189,56.27265167,171.8651886,38.74428177,54.30846024,56.73496628,66.43702698,22.96754265,
1/18/19,117.7807999,158.7834778,4.386200905,171.5060425,112.9385376,44.54999924,100.8058624,100.1238708,26.93775558,361.8274231,65.33454895,244.0137482,86.19205475,116.3726349,27.12448311,16.41729546,30.32145691,14.88819981,93.78736877,61.40057373,188.7355652,59.23926926,56.49242401,171.4589691,38.88422012,54.7660408,57.61142349,66.73854828,23.37767601,
1/22/19,117.8945313,158.7931366,4.393668175,171.4501495,112.650444,43.97999954,102.285965,98.11671448,26.69131279,358.2928772,65.5954361,245.2716827,86.21072388,116.7330933,27.14263725,16.17366219,30.26190567,14.79824066,93.5157547,61.47649384,187.2303619,59.34922409,56.36421967,171.5679626,39.06148148,55.37614822,57.33374405,67.07662964,22.88364792,
1/23/19,117.34478,159.8634338,4.423538685,172.2979584,112.2508011,43.25,103.2976685,97.11781311,26.91879654,352.7399902,65.53952789,245.7692413,86.00534058,116.548233,27.13356209,15.97687912,30.37250328,14.64530849,93.30971527,61.7517128,187.5276947,59.02852249,56.28180313,173.8864136,39.14544296,55.5555954,56.95191956,67.77105713,22.64129829,
1/24/19,116.8234558,159.7284698,4.434738636,172.3072815,112.5203247,44.06000137,104.8339767,97.1738205,26.95671463,358.5535583,65.54883575,245.5815125,85.91200256,117.0935516,27.07001877,16.10807037,30.55116844,14.75326061,93.62815094,61.429039,188.2710114,58.88191223,56.26348877,174.9069519,39.08947372,55.58250809,57.0387001,67.89898682,23.46156502,
1/25/19,118.8708344,161.4255524,4.484211922,173.8910522,114.7601318,44.65000153,106.5107803,97.24851227,27.44959068,356.7766418,65.84700012,246.7267761,86.95755005,118.7294846,27.56929779,16.38918686,30.67027855,15.023139,94.6583786,62.64376831,191.0677032,59.76156616,57.46311951,175.640152,39.57458496,56.01317596,58.02921677,68.47462463,23.95559311,
1/28/19,119.6859818,162.0426483,4.545817375,175.931366,116.0519867,44.52999878,107.147789,98.67684937,27.71498871,364.1837158,66.82534027,250.162674,88.46983337,119.6814651,27.80532074,16.56722641,30.83191872,15.31100559,95.85715485,63.30806732,193.4463043,60.46713257,58.14992905,175.9869385,40.08769608,56.70402527,58.84444427,68.94976807,24.04880524,
1/29/19,121.4016037,163.3829651,4.596223831,177.6921692,117.464653,44.59000015,107.7754364,99.56373596,27.92351341,366.289032,67.43099213,252.4438629,90.13153076,120.4855652,27.92333031,16.76400948,30.97655296,15.50891209,96.80309296,64.09574127,195.4904022,61.09937286,58.525383,177.1164551,40.35823822,57.00908279,59.36161804,69.43403625,24.0954113,
1/30/19,122.6148605,164.3761444,4.606491566,178.1579895,121.2472458,45.29999924,108.1688843,100.2919083,28.3690033,369.8815613,67.08624268,254.4152679,91.04637146,121.4837646,28.05950165,17.01701736,31.34238434,15.59887409,97.52424622,64.90239716,195.3510284,61.91489792,59.48691177,177.1660004,40.70342255,57.31413651,60.26448441,69.99141693,24.43097305,
1/31/19,124.8423462,166.6614075,4.622359276,179.7324524,122.557663,45.75,109.6583405,101.1414337,27.71498871,380.494873,67.60800934,254.5936127,92.05457306,122.5281754,28.63140297,16.92330933,31.64865303,15.30200863,94.85502625,65.63314056,197.4601746,63.15237045,59.52354813,180.8517761,40.81537628,57.86143494,61.28131104,70.80463409,24.4589386,
2/1/19,123.828125,164.3375702,4.580355167,177.1983795,121.9163742,45.91999817,109.5833893,101.3468094,27.98038483,382.7932739,67.10487366,253.5516357,91.13038635,122.1584625,28.31367493,16.90457153,31.14670372,15.43694687,94.36803436,65.87038422,194.6541901,62.36170959,59.01988602,179.4745789,40.47951889,56.8924408,60.97451019,69.72642517,24.93432236,
2/4/19,124.1124954,164.8293457,4.612092018,179.1920929,123.1059952,46.54000092,110.2016754,102.0189819,28.34056473,381.7406311,67.82232666,257.8699646,91.49445343,124.1455994,28.34091187,17.07323837,31.42745399,15.53590202,96.12877655,66.09814453,194.3568573,63.28110886,59.3770256,180.7824249,40.96464157,57.00908279,61.54428101,70.49396515,24.37504768,
2/5/19,122.9845428,166.266098,4.606491566,181.2044678,122.724968,46.56999969,111.6817703,103.4659958,28.35004425,382.2234497,67.97141266,259.9634705,91.51311493,124.0624237,28.44076538,17.16694832,31.36789894,15.67983723,96.18497467,66.37335968,194.1710205,63.73158646,59.31292343,182.8928528,41.13257217,57.69993591,61.79849243,70.77722931,24.68264961,
2/6/19,122.2831116,164.1832886,4.592489243,180.701355,122.3067245,46.27999878,109.9393539,100.7306747,28.10360336,376.7285156,68.01799011,258.6397095,91.71850586,123.3137665,28.22290039,17.06386757,31.25730324,15.63485813,96.16623688,65.93681335,193.7621918,63.6028862,59.05652237,179.7519989,41.06726456,57.30516434,61.14982605,70.12847137,24.48690605,
2/7/19,125.7996826,165.8610992,4.596223831,181.9311523,123.2453995,46.15999985,110.8011856,102.7378159,28.47326279,376.4291382,68.52114105,260.4703064,92.97875214,125.3194046,28.47707939,17.04512978,31.0871563,15.85076046,96.92485046,66.83835602,194.9700928,64.44872284,60.19204712,181.9614868,41.48707962,57.82554626,61.22871399,70.40260315,24.15133476,
2/8/19,125.4679184,166.266098,4.597156525,181.2044678,123.0502243,46.38999939,110.8855133,104.8569794,28.41639137,382.2524719,68.42795563,261.0429993,93.70690155,126.1789627,28.3590641,16.838974,31.06162834,16.03967476,97.2432785,67.21796417,195.6483612,64.43030548,60.18289185,181.5354462,41.59903717,57.66404343,61.27254486,70.54878235,23.90898514,
2/11/19,126.7285614,166.806076,4.597156525,181.7168427,123.9052734,46.75999832,110.9510803,105.7065353,28.16995049,386.356781,68.44660187,261.5968628,93.31482697,126.1419678,28.22290039,16.77337837,30.95102882,16.02168274,97.30883789,67.41725922,195.5926056,64.73371124,60.68655014,182.2785645,41.54305267,57.19749832,61.42157364,70.74980927,23.67595482,
2/12/19,125.6480103,166.4203491,4.563553333,180.2355347,123.3197708,47.83000183,109.9580994,104.1941681,28.2268219,383.8555298,67.58938599,259.6441956,92.41864014,124.8480225,27.58745003,16.8483448,30.4490757,15.94971275,96.54085541,66.99968719,193.0189056,63.75917435,59.82574463,181.5255432,41.26317596,56.91935349,60.13300323,70.03710175,23.61070633,
2/13/19,127.496315,167.4906921,4.606491566,182.6671448,124.2677307,49.24000168,110.9510803,104.7356262,28.3461628,378.4764709,68.28820038,261.0054016,92.71736908,125.3101578,27.91425323,17.20443153,30.49160957,16.02168274,97.43995667,67.20846558,193.2233276,63.97062683,59.96310806,182.6451263,41.65500259,57.61919403,60.38720703,70.86859131,23.66663361,
2/14/19,126.9086609,169.5059509,4.613025188,182.3410492,123.7100983,49.47999954,111.2414856,106.2479858,28.3461628,406.1734009,68.12980652,260.8364563,92.39997864,124.053154,28.08673286,17.18568802,30.00667381,15.90473175,97.05596924,67.23695374,193.399826,64.1545105,60.21951294,182.496521,41.64567566,58.08573914,59.8437233,70.78636169,23.69459724,
2/15/19,127.8280792,171.4634247,4.63076067,182.6671448,124.1840591,50.04000092,112.5342331,107.3869247,28.43209076,406.9459839,68.21366119,261.7470398,93.09078979,125.2177277,28.33479881,17.4668045,29.87906075,15.97670269,97.57108307,67.55960846,193.0189056,64.43952179,60.73233414,183.7944641,41.59903717,58.50742722,60.30832672,70.91427612,23.8064537,
2/19/19,128.6148071,171.2512665,4.65409565,183.0211487,125.1041489,50.13000107,112.5529633,108.6752396,28.527565,415.830658,68.51182556,263.0801086,92.52133942,125.0791016,28.44504929,17.35435867,30.10876083,15.99469471,97.40248871,67.73992157,193.1768494,64.28321838,60.96127319,181.8624268,41.72031403,58.07677078,60.2995491,70.13761139,23.85305977,
2/20/19,127.9323502,170.3737946,4.58782196,180.8318024,124.41642,50.11999893,112.0189896,110.6170273,28.56575394,416.7384033,67.71982574,259.8413391,89.61808777,123.5078659,28.32561111,18.44134903,30.38952255,15.7967844,96.66261292,66.7339859,191.0491028,63.26269913,60.28362274,181.3075714,41.35647583,56.82066727,59.58952713,69.2147522,24.11405373,
2/21/19,128.4252319,170.2002563,4.66497612,182.5180969,125.0577164,50.56999969,111.8129196,108.6378937,28.63258743,411.2627869,68.81929016,262.8642273,86.14537811,124.2749939,28.49098969,18.54442596,30.49160957,15.85975456,97.66474152,67.40776825,186.2733612,63.9522438,60.77812195,180.9805908,41.7389679,57.40385056,59.97521973,68.8080368,23.99287796,
2/22/19,129.591095,170.3159485,4.697907448,182.6391602,126.0893097,50.86999893,112.2906723,110.6170273,28.72805977,413.8509216,69.16405487,264.2347717,88.27379608,124.9219742,28.71149445,18.87239456,30.27041435,15.94971275,97.87078094,67.96767426,186.8866119,64.11772919,60.8658905,180.8715973,41.86958313,57.64609909,60.38720703,69.73238373,24.31912231,
2/25/19,128.9276123,168.0017242,4.630163193,181.3162384,125.2156906,50.47000122,110.6981659,109.3287277,28.70896912,414.2758484,68.48386383,262.282135,87.26560211,124.053154,28.29804802,18.55379677,29.81099701,15.91372967,97.13089752,67.62604523,187.1374664,63.80512619,60.77350235,179.4250336,41.54305267,56.9462738,59.82619476,68.77108002,24.10473251,
2/26/19,129.0223846,167.7992401,4.641453266,181.6050568,124.5465393,49.99000168,110.6981659,107.3962631,28.48937607,413.615387,68.68886566,262.8923645,87.27494049,123.6095352,28.40830231,18.46009064,29.81099701,15.87774563,97.40248871,67.41725922,188.3360443,63.59370041,60.78273773,179.3259583,41.61769485,56.63225174,59.23889542,68.90971375,23.82509232,
2/27/19,127.9133759,167.0085602,4.60287714,180.9901886,123.0502243,49.72000122,110.8386765,106.5653992,28.37480736,406.1461182,68.3254776,262.7046509,88.08709717,123.0364838,28.27967453,18.27267647,29.77696228,15.72481823,96.65323639,66.58214569,194.7563782,63.28110886,60.13601685,178.751297,41.39378357,56.64122009,58.62529755,68.90047455,24.0954113,
2/28/19,128.8043823,169.8530884,4.60381794,181.3255615,123.3197708,49.75999832,111.2414856,105.6038361,28.2315979,411.3425293,68.6608963,262.7046509,89.56207275,123.4708939,28.27048683,18.3757534,30.1342926,15.82377243,97.00914764,66.48722076,196.5031586,63.79396439,60.28384781,178.8999023,41.44043732,56.30027771,59.00222015,68.68787384,23.50979042,
3/1/19,128.8233643,171.5598297,4.616049767,180.9715576,122.5204849,49.66999817,111.6911469,107.0321655,28.11702728,420.3658142,68.48386383,262.0005188,89.22599792,122.4264832,28.04079247,18.31952858,30.4405632,15.58987808,96.55960083,66.31641388,196.977005,63.77550507,59.29527664,180.4356689,41.33781433,55.88756561,58.58146667,68.41057587,23.62313652,
3/4/19,129.818573,173.266571,4.663094521,182.2944946,122.9573135,50.31000137,111.9534302,105.8652344,28.39390564,414.7226868,68.93110657,264.760498,89.89813232,122.9902954,28.11429787,18.55379677,30.34697723,15.50891209,97.47743225,66.75294495,197.3022156,64.14447784,59.60939789,180.8022461,41.74830246,56.21056366,59.24766541,68.91895294,23.56646347,
3/5/19,130.2356262,174.5875854,4.651803017,183.0118561,123.8773956,50.5,112.0189896,105.6225128,28.40345001,414.6643066,68.88451385,264.1127014,91.29841614,124.127121,28.23373795,18.59127808,30.03219223,15.78778744,97.75839996,66.75294495,198.0455322,64.38430023,60.14525604,180.4257507,41.88824081,56.04008484,59.51063156,69.19626617,23.22642708,
3/6/19,130.3778076,175.1564789,4.633926392,182.1081543,123.1431732,49.29999924,113.0494461,105.0810394,28.3557148,412.4692078,68.53044891,264.1408997,90.78498077,122.7130051,27.97648239,18.48820114,29.79397964,15.50891209,97.84268951,66.59163666,198.1012726,64.11680603,59.53548813,180.6239166,41.67366409,55.52867126,59.58952713,68.69712067,23.25476456,
3/7/19,129.5721283,175.2529144,4.640512943,182.1360931,123.1059952,49.86000061,113.1056595,105.1650543,28.29842949,414.4992065,68.41864777,265.0045776,90.48626709,122.3340683,27.93054008,18.16023064,29.66636467,15.64385319,98.32032776,65.97476959,198.9932556,64.07065582,59.13821793,181.693985,41.66433334,55.48381424,59.24766541,69.41810608,22.99973488,
